ID,Player Name,Overall,Club,League,League location,Nationality,Position,Age,Height (cm),Weight (Kg),Pace,Acceleration,Sprint Speed,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,Free Kick,Short Pass,Long Pass,Pass Curve,Defending,Interceptions,Heading,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Diving,Reflexes,Handling,Speed,Kicking,Positoning,Preferred Foot,Attacking Workrate,Defensive Workrate,Weak Foot,Skill Moves,CB,RB,LB,RWB,LWB,CDM,CM,RM,LM,CAM,CF,RF,LF,RW,LW,ST
3970,José Ignacio Martínez García,71,R. Valladolid CF,LaLiga Santander,Spain,Spain,LB,29,175,76,84,80,88,69,85,82,62,68,63,55,59,43,77,64,46,40,63,53,72,58,63,67,65,67,71,51,68,67,71,68,88,71,61,75,0,0,0,0,0,0,Left,High,Med,3,3,67,70,70,70,70,67,63,66,66,63,63,63,63,65,65,61
3971,Borja Fernández Fernández,71,R. Valladolid CF,LaLiga Santander,Spain,Spain,CDM,37,189,82,33,33,33,62,43,47,66,67,78,63,56,55,79,69,47,63,66,67,59,68,71,68,46,70,70,68,72,72,62,78,72,69,83,80,0,0,0,0,0,0,Right,Med,High,3,2,71,63,63,64,64,70,67,60,60,62,61,61,61,59,59,62
3972,Antonio Jesús Regal Angulo,71,R. Valladolid CF,LaLiga Santander,Spain,Spain,RB,30,174,64,84,89,80,70,91,82,62,68,62,51,63,44,70,47,36,49,62,54,70,59,67,49,63,63,66,54,62,63,69,72,76,91,62,72,0,0,0,0,0,0,Right,High,Med,3,3,65,70,70,71,71,65,62,67,67,63,63,63,63,66,66,61
3973,Jordan Obita,71,Reading,EFL Championship,England,England,LB,24,180,74,78,78,78,70,78,72,69,71,68,63,64,59,68,65,65,62,70,65,74,69,69,70,76,67,65,58,70,69,68,65,67,71,61,68,0,0,0,0,0,0,Left,Med,Med,3,3,67,70,70,70,70,68,68,70,70,68,67,67,67,69,69,66
3974,Paul McShane,71,Reading,EFL Championship,England,Republic of Ireland,CB,32,183,81,46,44,47,51,47,57,62,66,53,37,36,33,47,31,54,41,59,48,64,36,65,68,36,70,69,67,73,68,69,73,82,54,78,82,0,0,0,0,0,0,Right,Med,High,3,2,70,64,64,62,62,67,57,53,53,51,48,48,48,49,49,50
3975,Sebastian Andersson,71,1. FC Union Berlin,Bundesliga 2,Germany,Sweden,ST,27,190,85,72,66,76,59,57,55,69,58,61,67,76,73,69,53,65,60,47,59,28,42,60,31,38,25,22,79,19,17,20,76,62,77,78,71,0,0,0,0,0,0,Right,High,Med,2,2,43,43,43,44,44,44,54,60,60,62,65,65,65,61,61,70
3976,Florian Hübner,71,1. FC Union Berlin,Bundesliga 2,Germany,Germany,CB,27,193,84,53,54,53,45,52,48,66,54,65,43,44,40,62,35,25,44,48,37,50,21,58,51,31,71,72,73,68,74,71,71,50,59,79,72,0,0,0,0,0,0,Right,Med,Med,3,2,70,64,64,61,61,64,52,49,49,47,48,48,48,47,47,53
3977,Suleiman Abdullahi,71,1. FC Union Berlin,Bundesliga 2,Germany,Nigeria,ST,21,185,86,87,85,89,70,69,69,62,70,62,67,69,69,75,63,40,66,45,57,33,32,59,19,38,21,17,63,14,18,12,77,64,66,87,68,0,0,0,0,0,0,Right,Med,Low,3,3,41,42,42,44,44,41,53,63,63,65,69,69,69,66,66,70
3978,Akaki Gogia,71,1. FC Union Berlin,Bundesliga 2,Germany,Germany,RW,26,178,72,75,79,72,75,89,86,65,75,66,69,67,68,70,73,67,60,65,63,66,65,67,56,76,28,28,41,31,22,23,60,70,74,58,45,0,0,0,0,0,0,Right,Med,Med,4,4,40,49,49,53,53,49,63,69,69,70,69,69,69,71,71,66
3979,José Guerrero,71,Puebla,LIGA Bancomer MX,Mexico,Mexico,CDM,30,175,75,41,41,41,68,57,67,68,70,66,49,39,42,62,53,44,51,66,64,64,45,69,72,73,68,71,64,69,67,63,74,63,77,73,76,0,0,0,0,0,0,Right,Med,High,3,3,68,65,65,66,66,70,66,61,61,61,58,58,58,58,58,56
3980,Dario Dumic,71,SG Dynamo Dresden,Bundesliga 2,Germany,Bosnia and Herzegovina,CB,26,193,85,54,40,65,47,52,40,61,54,62,45,31,41,69,41,22,31,54,47,39,56,65,61,48,69,62,83,71,67,65,78,77,73,85,68,0,0,0,0,0,0,Right,Low,High,2,2,70,62,62,60,60,64,55,50,50,50,49,49,49,47,47,54
3981,Philip Heise,71,SG Dynamo Dresden,Bundesliga 2,Germany,Germany,LB,27,184,78,81,77,84,69,66,65,66,73,65,58,59,50,74,66,43,52,65,57,73,70,67,60,70,64,63,58,60,69,68,74,72,81,72,73,0,0,0,0,0,0,Left,High,Med,3,3,67,70,70,70,70,67,66,68,68,65,66,66,66,67,67,64
3982,Brian Hamalainen,71,SG Dynamo Dresden,Bundesliga 2,Germany,Denmark,LB,29,178,80,71,70,72,68,67,73,70,69,75,51,67,26,81,71,62,57,74,73,77,76,73,75,74,68,68,64,65,71,68,72,74,74,72,69,0,0,0,0,0,0,Left,High,High,3,3,69,70,70,71,71,71,70,68,68,67,65,65,65,66,66,62
3983,Marco Hartmann,71,SG Dynamo Dresden,Bundesliga 2,Germany,Germany,CDM,30,194,94,49,46,52,54,37,50,72,56,76,56,53,51,67,57,49,54,53,54,38,40,62,63,36,74,75,71,75,74,70,81,41,80,85,80,0,0,0,0,0,0,Right,Med,Med,3,2,72,66,66,64,64,70,62,55,55,56,57,57,57,53,53,59
3984,Patrick Ebert,71,SG Dynamo Dresden,Bundesliga 2,Germany,Germany,LM,31,176,78,64,63,64,70,77,77,72,71,58,70,68,69,80,70,57,59,75,67,80,76,74,77,77,58,67,58,59,55,49,67,64,66,68,67,0,0,0,0,0,0,Right,Med,Med,4,3,62,64,64,66,66,67,70,70,70,70,70,70,70,70,70,69
3985,Collins Fai,71,Standard de Liège,Belgium Pro League,Belgium,Cameroon,LB,26,167,72,86,90,82,69,90,91,65,64,64,32,58,22,54,28,23,34,57,59,58,31,63,59,21,69,68,53,71,71,72,68,92,82,54,81,0,0,0,0,0,0,Right,High,High,4,3,68,70,70,70,70,67,62,64,64,60,59,59,59,61,61,53
3986,Carlos Vinícius Santos de Jesús,71,Standard de Liège,Belgium Pro League,Belgium,Brazil,CAM,24,180,75,70,73,68,74,71,73,71,74,68,64,67,58,75,72,58,42,67,66,66,66,69,65,68,40,40,60,37,38,35,69,73,63,74,65,0,0,0,0,0,0,Right,Med,Med,4,3,52,54,54,57,57,56,66,69,69,70,70,70,70,70,70,68
3987,Luis Pedro Cavanda,71,Standard de Liège,Belgium Pro League,Belgium,Belgium,RB,27,180,76,77,74,80,71,72,72,67,73,58,56,65,47,69,66,42,50,62,50,67,51,65,62,74,68,69,61,68,70,70,71,73,69,71,71,0,0,0,0,0,0,Right,High,High,3,3,69,70,70,70,70,68,65,67,67,65,66,66,66,67,67,64
3988,Adama Niane,71,ESTAC Troyes,Dominos Ligue 2,France,Mali,ST,25,182,70,72,73,71,68,74,66,65,67,68,69,74,71,70,66,66,63,55,50,49,44,69,38,54,19,12,68,13,14,15,70,80,69,76,55,0,0,0,0,0,0,Right,Med,Low,3,3,39,42,42,45,45,42,56,64,64,65,68,68,68,66,66,70
3989,Aleksandar Bjelica,71,KV Oostende,Belgium Pro League,Belgium,Serbia,LWB,24,184,81,66,67,66,69,60,60,67,70,63,53,54,34,79,68,56,46,70,66,74,70,69,71,72,68,69,68,65,69,70,75,68,73,76,79,0,0,0,0,0,0,Left,High,Med,4,3,70,69,69,70,70,70,68,66,66,65,64,64,64,64,64,62
3990,Fernando Canesín Matos,71,KV Oostende,Belgium Pro League,Belgium,Brazil,CAM,26,176,72,78,81,75,74,82,76,68,73,67,61,68,58,62,63,66,63,66,72,65,61,67,61,67,30,39,47,21,29,27,60,76,76,53,52,0,0,0,0,0,0,Right,High,Med,4,3,43,52,52,56,56,52,65,70,70,70,69,69,69,70,70,64
3991,Peter Ankersen,71,FC København,Superliga,Denmark,Denmark,RB,28,179,75,82,81,82,69,77,72,67,69,60,61,66,58,70,65,60,40,66,65,67,61,68,65,63,66,65,54,68,68,68,68,68,85,63,58,0,0,0,0,0,0,Right,High,Med,3,3,65,70,70,71,71,68,68,69,69,68,67,67,67,68,68,65
3992,Jonathan Spector,71,Orlando City Soccer Club,Major League Soccer,United States,United States,CB,32,182,80,62,58,65,63,69,65,69,68,68,53,55,50,57,56,42,51,61,53,57,52,68,63,55,70,73,67,72,69,64,73,88,74,72,72,0,0,0,0,0,0,Right,Med,High,4,2,70,67,67,67,67,69,64,61,61,61,60,60,60,60,60,60
3993,Graham Dorrans,71,Rangers FC,Scottish Premiership,Scotland,Scotland,CM,31,179,78,60,62,59,70,69,71,69,71,77,67,65,62,73,73,62,68,73,75,71,67,75,71,72,57,63,61,53,55,59,67,67,71,66,64,0,0,0,0,0,0,Right,Med,Med,3,3,61,64,64,65,65,66,70,69,69,70,68,68,68,68,68,66
3994,Rodrigo Defendi,71,Desportivo Aves,Liga NOS,Portugal,Brazil,CB,32,190,83,37,39,36,49,49,44,68,61,66,30,32,26,35,32,24,33,47,45,32,36,59,51,28,71,73,77,70,71,62,70,56,51,81,72,0,0,0,0,0,0,Left,Med,Med,3,2,70,59,59,57,57,64,53,45,45,47,45,45,45,43,43,46
3995,Vitor Hugo Gomes da Silva,71,Desportivo Aves,Liga NOS,Portugal,Portugal,CM,30,183,81,58,55,60,70,63,59,70,74,70,62,66,53,77,70,50,59,71,72,73,73,73,68,61,63,68,70,55,65,66,73,76,65,75,77,0,0,0,0,0,0,Right,Med,Med,3,3,68,66,66,67,67,69,70,68,68,69,68,68,68,67,67,66
3996,Diego Fortunato dos Santos Queiroz,71,Desportivo Aves,Liga NOS,Portugal,Brazil,CB,34,185,80,54,55,53,51,55,56,66,56,70,29,28,23,43,26,34,43,41,29,36,27,56,39,33,72,74,73,72,71,68,68,87,53,74,69,0,0,0,0,0,0,Right,Med,Med,2,2,70,62,62,59,59,61,48,45,45,44,44,44,44,44,44,46
3997,Bruno Manuel Araújo Braga,71,Desportivo Aves,Liga NOS,Portugal,Portugal,CM,35,181,75,49,48,49,72,62,62,66,75,80,73,71,66,82,78,74,74,73,72,72,61,76,73,70,54,58,54,56,56,38,67,57,54,72,74,0,0,0,0,0,0,Right,Med,Med,4,3,59,58,58,60,60,65,70,68,68,71,70,70,70,69,69,68
3998,Amilton Minervino da Silva,71,Desportivo Aves,Liga NOS,Portugal,Brazil,RW,29,172,66,91,90,91,74,78,80,70,70,71,69,71,68,80,64,55,62,58,59,67,42,59,42,65,33,41,43,31,27,30,66,54,75,58,78,0,0,0,0,0,0,Right,High,Med,3,4,46,54,54,57,57,51,60,70,70,68,71,71,71,71,71,69
3999,Nélson Ricardo Rodrigues Lenho,71,Desportivo Aves,Liga NOS,Portugal,Portugal,LB,34,178,71,68,68,68,70,64,66,69,70,68,47,70,42,52,48,49,46,71,67,77,51,74,65,76,67,70,54,65,70,71,74,70,75,73,78,0,0,0,0,0,0,Left,Med,Med,3,3,69,70,70,71,71,70,68,69,69,67,65,65,65,67,67,61
4000,Rilwan Hassan,71,FC Midtjylland,Superliga,Denmark,Nigeria,RW,27,172,64,84,82,85,74,84,81,64,71,66,64,69,61,73,64,58,46,64,68,66,40,66,60,58,53,55,61,58,51,36,64,84,71,52,80,0,0,0,0,0,0,Right,High,Med,4,3,58,61,61,63,63,61,66,70,70,69,70,70,70,71,71,67
4001,Marc Dal Hende,71,FC Midtjylland,Superliga,Denmark,Denmark,LWB,27,179,75,78,77,78,70,69,75,72,70,71,65,70,68,66,57,66,54,64,60,65,52,66,66,63,68,66,68,67,69,68,80,80,83,78,81,0,0,0,0,0,0,Left,High,High,3,3,70,70,70,70,70,69,68,70,70,68,69,69,69,69,69,70
4002,Nabil Ghilas,71,Göztepe SK,Super Lig,Turkey,Algeria,ST,28,183,85,70,68,72,69,59,59,66,72,80,70,68,70,77,62,77,78,60,60,60,52,64,50,66,33,42,65,28,25,26,69,66,34,83,78,0,0,0,0,0,0,Right,High,Med,4,3,49,48,48,50,50,50,59,65,65,66,68,68,68,67,67,70
4003,Ricardo Martins de Araújo,71,Göztepe SK,Super Lig,Turkey,Brazil,CB,32,189,80,54,54,54,42,66,58,65,49,65,28,31,19,47,27,23,42,40,25,28,37,59,35,27,72,74,72,71,72,72,72,76,58,78,71,0,0,0,0,0,0,Right,Med,Med,2,2,70,62,62,58,58,61,46,41,41,41,41,41,41,40,40,44
4004,Cyriac Gohi Bi Zoro,71,Sivasspor,Super Lig,Turkey,Côte d'Ivoire,ST,28,172,75,85,84,85,71,86,80,69,68,69,70,67,70,70,71,67,69,62,66,64,60,67,44,58,34,24,68,39,28,26,61,92,68,61,43,0,0,0,0,0,0,Right,High,Med,4,3,46,52,52,54,54,48,61,69,69,69,70,70,70,71,71,70
4005,Mattias Bjärsmyr,71,Sivasspor,Super Lig,Turkey,Sweden,CB,32,186,82,57,53,60,48,57,56,68,53,71,34,33,28,47,34,34,34,44,31,40,37,50,53,40,71,72,62,72,72,70,74,83,61,77,78,0,0,0,0,0,0,Right,Med,Med,2,2,70,63,63,60,60,63,50,46,46,44,44,44,44,44,44,47
4006,Patricio Toranzo,71,Club Atlético Huracán,SAF,Argentina,Argentina,CAM,36,178,73,50,55,45,71,67,63,66,76,56,67,64,63,71,73,62,63,75,76,77,75,75,73,76,58,64,49,59,55,58,65,68,55,71,64,0,0,0,0,0,0,Right,Med,Med,3,3,61,62,62,64,64,66,70,68,68,70,68,68,68,68,68,65
4007,Juan Garro,71,Club Atlético Huracán,SAF,Argentina,Argentina,LM,25,179,71,78,79,78,71,72,65,69,73,59,65,73,72,72,43,58,66,61,65,62,36,65,58,48,25,14,66,25,21,22,65,63,74,74,31,0,0,0,0,0,0,Right,High,High,3,3,40,48,48,51,51,46,62,70,70,68,70,70,70,70,70,71
4008,Farid Boulaya,71,Football Club de Metz,Dominos Ligue 2,France,Algeria,CAM,25,179,70,76,77,76,74,75,70,60,74,58,65,64,62,76,67,54,56,69,70,72,73,68,64,74,25,26,42,21,22,28,52,61,55,45,61,0,0,0,0,0,0,Right,High,Med,4,4,39,48,48,52,52,48,63,70,70,70,69,69,69,71,71,65
4009,Alexandre Oukidja,71,Football Club de Metz,Dominos Ligue 2,France,France,GK,30,184,79,0,48,45,0,54,58,67,12,56,0,11,14,26,19,15,24,0,13,13,18,24,27,11,0,18,16,12,19,12,0,56,44,44,24,72,76,67,48,62,70,Right,Med,Med,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,John Boye,71,Football Club de Metz,Dominos Ligue 2,France,Ghana,CB,31,184,73,64,66,63,57,65,61,68,58,55,33,38,36,43,23,11,28,55,51,55,16,62,60,36,70,68,75,69,72,65,76,81,71,75,81,0,0,0,0,0,0,Right,Med,High,3,2,70,66,66,64,64,66,57,56,56,54,52,52,52,53,53,52
4011,Laurent Jans,71,Football Club de Metz,Dominos Ligue 2,France,Luxembourg,RB,26,178,76,76,77,75,69,73,67,68,67,66,49,62,39,65,56,37,49,66,64,71,57,67,64,65,68,68,61,67,70,71,70,75,80,65,69,0,0,0,0,0,0,Right,High,High,3,3,68,70,70,71,71,68,66,67,67,65,64,64,64,65,65,61
4012,Habib Diallo,71,Football Club de Metz,Dominos Ligue 2,France,Senegal,ST,23,186,79,70,72,69,68,66,67,64,67,65,68,67,75,68,56,65,63,50,61,35,36,59,42,49,22,19,76,13,17,17,70,71,66,81,47,0,0,0,0,0,0,Right,High,Med,2,3,40,41,41,43,43,42,56,62,62,64,67,67,67,64,64,70
4013,Bryan Acosta,71,CD Tenerife,LaLiga 1 I 2 I 3,Spain,Honduras,CAM,24,175,73,86,83,88,68,77,87,72,68,68,69,69,62,86,76,44,62,67,75,56,73,67,72,49,63,65,57,61,67,62,80,72,84,78,84,0,0,0,0,0,0,Right,High,High,3,3,68,68,68,68,68,70,70,70,70,70,70,70,70,69,69,70
4014,Francisco Montañés Claverías,71,CD Tenerife,LaLiga 1 I 2 I 3,Spain,Spain,LM,31,172,73,87,89,85,73,87,83,69,66,75,64,66,60,75,63,66,60,65,66,68,62,65,60,76,42,38,42,55,40,21,63,79,66,65,51,0,0,0,0,0,0,Right,High,Med,4,3,49,54,54,58,58,54,63,70,70,68,69,69,69,70,70,66
4015,Alexander Mesa Travieso,71,CD Tenerife,LaLiga 1 I 2 I 3,Spain,Spain,ST,23,173,71,83,89,78,70,76,77,71,71,65,67,72,67,70,63,67,69,61,61,62,48,66,46,72,30,21,62,29,29,20,69,76,72,77,43,0,0,0,0,0,0,Right,High,High,3,3,44,50,50,53,53,48,61,69,69,68,70,70,70,70,70,70
4016,Alberto Brignoli,71,Palermo,Calcio B,Italy,Italy,GK,27,187,74,0,31,33,0,22,32,64,23,53,0,11,20,55,11,19,22,0,38,17,12,36,42,17,0,11,30,20,21,20,0,58,34,42,12,70,72,72,31,75,68,Left,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4017,Carlos Miguel Ribeiro Dias,71,Legia Warszawa,Ekstraklasa,Poland,Portugal,CDM,25,183,84,64,65,64,68,58,66,66,71,64,67,68,57,84,73,70,69,62,58,50,46,71,70,54,66,69,71,58,69,67,83,61,87,83,83,0,0,0,0,0,0,Right,Med,Med,3,3,70,67,67,67,67,70,69,66,66,67,68,68,68,65,65,69
4018,Daniel Rosero Valencia,71,Deportivo Cali,Liga Dimayor,Colombia,Colombia,CB,25,181,81,73,69,76,59,63,63,63,50,54,39,43,33,48,36,46,49,53,44,65,37,56,49,46,72,70,77,73,73,66,77,87,91,79,54,0,0,0,0,0,0,Right,Med,High,2,2,70,69,69,68,68,64,55,58,58,52,52,52,52,55,55,54
4019,Didier Delgado,71,Deportivo Cali,Liga Dimayor,Colombia,Colombia,RB,26,185,70,89,89,89,62,67,54,67,62,56,55,64,55,54,54,40,64,61,62,69,26,65,55,53,68,63,61,71,70,67,68,75,77,64,66,0,0,0,0,0,0,Right,Med,Med,3,2,67,70,70,70,70,65,63,67,67,64,64,64,64,66,66,62
4020,Kevin Balanta,71,Deportivo Cali,Liga Dimayor,Colombia,Colombia,CDM,21,179,73,65,66,65,64,73,64,73,70,54,49,60,39,64,58,36,43,56,57,33,37,69,71,36,69,66,70,73,69,57,78,78,84,73,81,0,0,0,0,0,0,Right,Med,Med,3,2,70,65,65,64,64,70,67,61,61,63,62,62,62,59,59,61
4021,Darwin Andrade,71,Deportivo Cali,Liga Dimayor,Colombia,Colombia,LB,27,173,70,80,78,82,66,75,71,67,63,69,41,55,44,56,23,23,37,55,29,70,30,64,67,30,66,68,59,61,71,70,69,70,85,60,73,0,0,0,0,0,0,Left,High,High,3,3,66,70,70,70,70,66,59,64,64,56,57,57,57,60,60,57
4022,Kevin Müller,71,1. FC Heidenheim 1846,Bundesliga 2,Germany,Germany,GK,27,190,90,0,49,46,0,48,43,69,18,52,0,11,13,18,15,11,20,0,10,12,16,21,20,13,0,20,13,12,10,10,0,67,31,76,41,70,74,68,49,59,70,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4023,Bilal Kisa,71,Akhisar Belediyespor,Super Lig,Turkey,Turkey,CM,35,180,70,47,55,40,71,63,64,64,73,68,72,60,67,81,81,57,74,76,75,79,77,74,76,80,58,56,55,64,56,53,55,61,54,55,54,0,0,0,0,0,0,Left,Med,Low,3,3,58,60,60,62,62,64,70,68,68,70,68,68,68,68,68,65
4024,Paulo Henrique Carneiro Filho,71,Akhisar Belediyespor,Super Lig,Turkey,Brazil,ST,29,185,80,65,67,64,72,71,76,68,71,70,70,69,69,75,69,67,64,60,65,58,61,60,56,62,35,24,72,41,28,21,76,82,78,78,66,0,0,0,0,0,0,Right,High,Low,4,3,48,49,49,52,52,51,62,67,67,67,69,69,69,67,67,70
4025,Mustafa Yumlu,71,Akhisar Belediyespor,Super Lig,Turkey,Turkey,CB,31,191,77,37,39,36,48,46,40,62,51,63,37,26,32,56,30,32,44,45,37,22,24,62,59,22,70,69,76,69,69,67,78,68,68,84,79,0,0,0,0,0,0,Right,Low,High,2,2,70,59,59,56,56,64,53,44,44,45,44,44,44,41,41,48
4026,Sérgio Antônio Borges Júnior,71,Akhisar Belediyespor,Super Lig,Turkey,Brazil,CDM,32,178,70,63,64,62,71,65,69,78,70,71,64,68,64,69,69,31,60,68,67,68,58,73,67,45,67,69,59,70,65,72,72,79,73,70,75,0,0,0,0,0,0,Right,Med,Med,3,3,69,69,69,70,70,70,70,69,69,69,69,69,69,69,69,67
4027,Dany Nounkeu,71,Akhisar Belediyespor,Super Lig,Turkey,Cameroon,CB,32,184,80,78,77,79,62,67,54,62,65,61,32,31,24,48,37,27,34,52,43,51,24,59,60,54,69,67,73,69,72,63,77,82,73,79,75,0,0,0,0,0,0,Right,Med,High,3,2,70,67,67,65,65,65,57,57,57,53,52,52,52,54,54,52
4028,Kingsley Schindler,71,Holstein Kiel,Bundesliga 2,Germany,Ghana,RM,25,183,80,86,87,85,67,74,72,64,65,58,66,69,73,64,57,51,65,63,66,69,41,65,55,55,45,40,47,46,48,40,68,80,79,72,41,0,0,0,0,0,0,Right,Med,Med,4,3,52,58,58,61,61,55,63,70,70,67,68,68,68,70,70,67
4029,Joel Castro Pereira,71,Vitória Setúbal,Liga NOS,Portugal,Portugal,GK,22,188,70,0,43,43,0,34,44,68,20,54,0,14,12,12,11,7,12,0,55,10,11,36,20,9,0,20,11,13,11,9,0,54,34,56,22,69,72,74,43,65,69,Right,Med,Med,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,Luís Miguel Lopes Mendes,71,Vitória Setúbal,Liga NOS,Portugal,Portugal,RB,31,170,67,78,74,81,71,87,86,72,67,70,48,61,41,66,45,48,43,60,55,67,46,66,55,42,68,72,52,68,69,70,62,84,78,49,70,0,0,0,0,0,0,Right,High,Med,4,3,66,70,70,71,71,67,64,66,66,63,63,63,63,65,65,59
4031,Nuno Miguel Pereira Reis,71,Vitória Setúbal,Liga NOS,Portugal,Portugal,CB,27,182,76,66,65,67,62,69,65,67,62,67,48,42,43,56,49,44,58,55,46,53,53,62,58,50,71,68,71,72,73,70,71,82,73,70,66,0,0,0,0,0,0,Right,Med,Med,2,2,70,67,67,66,66,66,59,58,58,56,56,56,56,57,57,56
4032,Sean Davis,71,New York Red Bulls,Major League Soccer,United States,United States,CM,25,183,75,69,69,69,70,71,69,66,73,71,60,62,59,65,60,54,58,70,68,64,67,75,71,70,65,62,63,67,66,62,70,67,78,69,65,0,0,0,0,0,0,Right,Med,Med,4,3,66,67,67,68,68,69,70,69,69,69,67,67,67,67,67,65
4033,Graham Zusi,71,Sporting Kansas City,Major League Soccer,United States,United States,RB,32,178,72,68,69,68,71,65,78,68,70,76,71,77,63,81,78,70,73,77,75,77,72,77,78,82,65,65,58,65,68,67,73,64,92,68,65,0,0,0,0,0,0,Right,High,High,4,3,66,70,70,72,72,71,74,73,73,73,72,72,72,72,72,70
4034,Samir Memiševic,71,FC Groningen,Eredivisie,Holland,Bosnia and Herzegovina,CB,25,185,77,59,51,65,53,35,64,62,50,60,32,30,26,54,26,20,41,50,34,40,28,66,64,30,70,76,73,70,66,62,77,87,75,77,77,0,0,0,0,0,0,Right,Med,Med,3,2,70,63,63,62,62,66,55,51,51,48,47,47,47,47,47,49
4035,Mike te Wierik,71,FC Groningen,Eredivisie,Holland,Holland,CB,26,191,73,61,54,67,59,60,47,67,62,69,48,52,40,60,53,49,37,60,59,60,31,66,64,33,70,72,72,70,69,69,73,65,72,77,67,0,0,0,0,0,0,Right,Med,Med,3,2,70,67,67,66,66,68,63,60,60,59,58,58,58,58,58,58
4036,Brayan Garnica,71,Club Atlas,LIGA Bancomer MX,Mexico,Mexico,RM,22,167,56,80,79,81,74,86,84,61,74,68,65,63,68,72,58,52,50,65,59,70,40,72,62,50,33,32,40,33,31,30,58,52,76,56,40,0,0,0,0,0,0,Right,High,Med,3,3,42,53,53,57,57,52,63,70,70,68,68,68,68,70,70,65
4037,Clifford Aboagye,71,Club Atlas,LIGA Bancomer MX,Mexico,Ghana,CM,23,163,55,80,81,79,77,82,86,69,80,64,59,60,51,68,66,54,68,73,70,67,62,79,74,69,43,53,42,40,39,48,60,47,69,60,52,0,0,0,0,0,0,Right,Med,Med,3,3,51,60,60,63,63,61,70,72,72,72,70,70,70,71,71,64
4038,Miguel Samudio,71,Querétaro,LIGA Bancomer MX,Mexico,Paraguay,LB,32,172,74,77,75,78,69,61,67,69,71,69,60,64,51,76,67,50,54,64,57,70,60,67,56,69,66,62,67,64,68,70,78,76,79,80,70,0,0,0,0,0,0,Left,Med,High,3,3,69,70,70,70,70,67,65,68,68,65,67,67,67,67,67,67
4039,Adrian Stoian,71,Crotone,Calcio B,Italy,Romania,LM,27,178,66,72,68,75,77,85,83,65,77,73,65,67,59,70,71,67,65,67,63,69,73,67,63,77,35,22,60,41,30,32,50,74,69,34,60,0,0,0,0,0,0,Right,High,High,5,4,44,52,52,55,55,51,64,70,70,69,69,69,69,70,70,66
4040,David Ousted,71,D.C. United,Major League Soccer,United States,Denmark,GK,33,192,88,0,38,36,0,39,44,74,20,52,0,12,14,25,15,14,21,0,50,12,13,26,38,13,0,9,14,15,19,13,0,60,33,64,35,69,69,72,38,66,68,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4041,Zoltán Stieber,71,D.C. United,Major League Soccer,United States,Hungary,RM,29,175,67,71,73,69,73,75,80,67,72,69,66,68,63,73,63,70,65,70,74,74,69,70,56,75,36,31,45,44,31,32,55,65,71,51,41,0,0,0,0,0,0,Left,High,Low,3,3,44,53,53,57,57,52,65,70,70,70,69,69,69,70,70,65
4042,Shkëlzen Gashi,71,Colorado Rapids,Major League Soccer,United States,Albania,LM,30,182,75,69,67,71,70,75,66,69,74,66,72,73,67,81,73,76,70,70,69,67,75,72,70,76,54,53,73,51,55,45,71,78,67,69,77,0,0,0,0,0,0,Left,Med,Med,3,3,61,61,61,62,62,64,69,70,70,71,71,71,71,70,70,72
4043,Ben Rienstra,71,SC Heerenveen,Eredivisie,Holland,Holland,CM,28,182,67,66,64,67,69,64,70,70,72,74,66,65,63,73,69,58,56,65,71,45,55,72,69,63,67,65,68,67,68,66,74,72,83,73,68,0,0,0,0,0,0,Right,Med,Med,3,3,68,67,67,67,67,70,70,67,67,69,68,68,68,66,66,68
4044,Kamohelo Mokotjo,71,Brentford,EFL Championship,England,South Africa,CM,27,175,72,66,67,65,69,69,81,69,73,78,50,60,46,59,52,40,50,67,67,52,46,78,71,51,64,70,42,62,70,64,68,74,75,66,62,0,0,0,0,0,0,Right,Med,Med,3,3,65,66,66,67,67,70,70,66,66,67,64,64,64,64,64,59
4045,Atsuto Uchida,71,Kashima Antlers,Meiji Yasuda J1 League,Japan,Japan,RB,30,176,70,66,67,65,74,73,71,72,75,70,47,71,36,68,49,34,41,70,65,74,36,74,73,68,73,73,61,76,73,74,56,77,50,55,60,0,0,0,0,0,0,Right,High,Med,2,3,70,70,70,71,71,71,69,69,69,68,66,66,66,67,67,62
4046,Neal Maupay,71,Brentford,EFL Championship,England,France,ST,22,171,69,74,77,72,67,74,79,72,69,60,69,75,73,70,58,66,69,64,67,60,55,69,58,63,39,26,60,30,52,33,65,60,64,66,65,0,0,0,0,0,0,Right,Med,Med,3,3,50,53,53,55,55,54,64,68,68,69,70,70,70,69,69,70
